Rank, Name, Platform, Country, Wins, Games
132,Radtann,Windows,,1593,4769
133,NoU_Pasjidadi,Windows,SI,1592,3510
133,KING TSU,Windows,BR,1592,3792
135,Twitch Mastirias,Windows,BG,1590,6555
136,oGDreaMz,Windows,US,1587,4424
137,twitchtvLIKANDOO,Windows,DE,1586,4646
138,MVP Paradox,Windows,HU,1585,3461
138,TwitchDenTheVito,Windows,DE,1585,5102
140,Starke2k,Windows,US,1583,7027
141,Owasco,Windows,US,1580,6980
142,twitch.Taiovsky,Windows,PL,1576,3653
143,uP DoNt_m1nd,Windows,PT,1575,4125
144,Citydriver,Windows,DE,1570,3213
145,Twitch_WezL89,Windows,SE,1567,8322
146,Pallo,Windows,,1564,4261
147,Twitch_D3stri,Windows,ES,1556,7722
148,ARQAW_ê,Windows,RU,1554,5879
149,uP Guedes,Windows,PT,1552,4351
150,quan_khi,Windows,,1550,6786
151,VaxitylolMIXERtv,Windows,US,1549,5461
152,ComradeDurachek,Windows,RU,1544,3436
153,Twitch Freakeh,Windows,SE,1535,6572
154,Method jetpacks,Windows,NO,1533,4470
155,TTV GS _flick1b,Windows,PE,1531,5019
156,SCARZ ãÅçã‚‹ãÅ‚,Windows,JP,1529,3031
157,Eliot,Windows,BE,1528,4841
157,twitch iamdialer,Windows,PL,1528,3596
159,FI.FritoL,Windows,CZ,1527,6439
160,é_¿?™—.,Windows,,1526,3934
161,twitchXyph9r,Windows,US,1523,4366
162,Twitch Aleator_,Windows,DE,1520,2982
163,Twitch Jappe,Windows,SE,1518,5765
164,GAMEWAVE_NoraGM,Windows,FR,1513,6053
165,zwetschkE,Windows,DE,1511,3624
166,twitchtvDooble,Windows,CA,1510,5570
166,Delta M Hotantik,Windows,FR,1510,5824
166,Alehx,Windows,US,1510,4666
169,Petrik72,Windows,SI,1509,5979
170,Twitch.Oschl,Windows,BE,1507,5139
171,Dr.Milo,Windows,DE,1506,5223
172,Lunatichai_ì—êì_„í_ˆì–´ë¡œ,Windows,KR,1505,4000
172,Oxfore,Windows,FR,1505,4798
174,Im_Houdini,Windows,TR,1499,5919
175,oStuda_Alkan,Windows,CZ,1497,4528
175,á´˜á´ á´›.Ê™á´œÊ™á´œ,Windows,MY,1497,4461
177,Shadoes_TV,Windows,FR,1493,8219
178,9D Madeed,Windows,US,1490,7299
179,liQuidb,Windows,BG,1489,5617
180,Xiaohu Viá»‡t Nam,Windows,VN,1487,6184
180,Keepo_,Windows,FR,1487,6604
180,LinK Lusiano,Windows,GR,1487,3659
183,HCK Nando,Windows,BR,1486,3246
184,oDRAINEOo,Windows,,1485,5217
184,OnF 3vil,Windows,PL,1485,3803
186,Supremacy Karazz,Windows,FR,1481,5113
187,TV_ParanoTheBoss,Windows,ES,1480,6381
